viewer_countyname,factsk,age_group_desc,dim_dayofweek,dim_month,dim_partname,dim_year,dimdate,dimpartsk,part_countyname,partsk,viewersk,vote,votecategory,votecost,votedate,votemode
Galway,100594758472619033,31-49,1,1,Stephanie Jimenez,2022,02/01/2022,100594758472613931,Kerry,100594758472613931,100594758472614015,1,Jury,0.5,02/01/2022,Facebook
Galway,100594758472619084,>50,1,1,David Young,2013,06/01/2013,100594758472613939,Clare,100594758472613939,100594758472614026,4,Jury,0.200000000000000011102230246251565404236316680908203125,06/01/2013,Facebook
Galway,100594758472619085,>50,1,1,Nathan Ortega,2021,03/01/2021,100594758472613982,Cavan,100594758472613982,100594758472614026,3,Jury,1,03/01/2021,TV
Galway,100594758472619086,>50,1,1,Walter Smith,2015,04/01/2015,100594758472613986,Waterford,100594758472613986,100594758472614026,4,Jury,0.200000000000000011102230246251565404236316680908203125,04/01/2015,Phone
Galway,100594758472619256,31-49,1,1,Denise Francis,2013,06/01/2013,100594758472613934,Tipperary,100594758472613934,100594758472614065,5,Jury,0.200000000000000011102230246251565404236316680908203125,06/01/2013,Phone
Galway,100594758472619257,31-49,1,1,Elizabeth Cummings,2018,07/01/2018,100594758472613952,Roscommon,100594758472613952,100594758472614065,1,Jury,1,07/01/2018,Phone
Galway,100594758472619258,31-49,1,1,Daniel Bell,2014,05/01/2014,100594758472613970,Wicklow,100594758472613970,100594758472614065,4,Jury,0.200000000000000011102230246251565404236316680908203125,05/01/2014,Facebook
Galway,100594758472619694,31-49,1,1,The Cody Stafford Group,2021,03/01/2021,100594758472613915,Cork,100594758472613915,100594758472614155,1,Jury,1,03/01/2021,TV
Galway,100594758472619695,31-49,1,1,Christopher Obrien,2022,02/01/2022,100594758472613949,Limerick,100594758472613949,100594758472614155,4,Jury,1,02/01/2022,TV
Galway,100594758472619696,31-49,1,1,Mary Underwood,2014,05/01/2014,100594758472613971,Wicklow,100594758472613971,100594758472614155,2,Jury,0.200000000000000011102230246251565404236316680908203125,05/01/2014,Instagram
Galway,100594758472619739,18-24,1,1,Michael Marshall,2018,07/01/2018,100594758472613914,Cork,100594758472613914,100594758472614166,1,Jury,0.5,07/01/2018,Instagram
Galway,100594758472619740,18-24,1,1,Sharon Sims,2016,03/01/2016,100594758472613925,Mayo,100594758472613925,100594758472614166,3,Jury,1,03/01/2016,TV
