
 viewer_countyname | factsk             | age_group_desc | dim_dayofweek | dim_month | dim_partname                  | dim_year | dimdate    | dimpartsk          | part_countyname | partsk             | viewersk           | vote | votecategory | votecost                                                 | votedate   | votemode
-------------------+--------------------+----------------+---------------+-----------+-------------------------------+----------+------------+--------------------+-----------------+--------------------+--------------------+------+--------------+----------------------------------------------------------+------------+-----------
            Galway | 100594758472619084 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614026 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472619085 |            >50 |             1 |         1 |                 Nathan Ortega |     2021 | 2021-01-03 | 100594758472613982 |           Cavan | 100594758472613982 | 100594758472614026 |    3 |         Jury |                                                        1 | 2021-01-03 |        TV
            Galway | 100594758472619086 |            >50 |             1 |         1 |                  Walter Smith |     2015 | 2015-01-04 | 100594758472613986 |       Waterford | 100594758472613986 | 100594758472614026 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |     Phone
            Galway | 100594758472619770 |            >50 |             1 |         1 |       The Cody Stafford Group |     2021 | 2021-01-03 | 100594758472613915 |            Cork | 100594758472613915 | 100594758472614171 |    3 |         Jury |                                                        1 | 2021-01-03 |     Phone
            Galway | 100594758472619771 |            >50 |             1 |         1 | The Carol Martinez Experience |     2015 | 2015-01-04 | 100594758472613921 |          Galway | 100594758472613921 | 100594758472614171 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |     Phone
            Galway | 100594758472619772 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472614171 |    3 |         Jury |                                                      0.5 | 2019-01-06 |  Facebook
            Galway | 100594758472619773 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614171 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472619809 |            >50 |             1 |         1 |                Benjamin Perez |     2018 | 2018-01-07 | 100594758472613926 |         Donegal | 100594758472613926 | 100594758472614181 |    1 |         Jury |                                                      0.5 | 2018-01-07 | Instagram
            Galway | 100594758472619810 |            >50 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472614181 |    1 |         Jury |                                                      0.5 | 2020-01-05 |  Facebook
            Galway | 100594758472619811 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472614181 |    2 |         Jury |                                                      0.5 | 2021-01-03 |  Facebook
            Galway | 100594758472619812 |            >50 |             1 |         1 |      The Joseph Roberts Combo |     2017 | 2017-01-01 | 100594758472613945 |          Tyrone | 100594758472613945 | 100594758472614181 |    1 |         Jury |                                                      0.5 | 2017-01-01 | Instagram
            Galway | 100594758472619813 |            >50 |             1 |         1 |                   Howard Rice |     2014 | 2014-01-05 | 100594758472613953 |       Roscommon | 100594758472613953 | 100594758472614181 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Instagram
            Galway | 100594758472619832 |            >50 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472614185 |    1 |         Jury |                                                        1 | 2017-01-01 |     Phone
            Galway | 100594758472619833 |            >50 |             1 |         1 |                    Noah Wiley |     2019 | 2019-01-06 | 100594758472613919 |          Galway | 100594758472613919 | 100594758472614185 |    4 |         Jury |                                                      0.5 | 2019-01-06 | Instagram
            Galway | 100594758472619834 |            >50 |             1 |         1 |                  Renee Burton |     2013 | 2013-01-06 | 100594758472613920 |          Galway | 100594758472613920 | 100594758472614185 |    5 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |     Phone
            Galway | 100594758472619835 |            >50 |             1 |         1 | The Carol Martinez Experience |     2015 | 2015-01-04 | 100594758472613921 |          Galway | 100594758472613921 | 100594758472614185 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |  Facebook
            Galway | 100594758472619836 |            >50 |             1 |         1 |                   Scott Craig |     2014 | 2014-01-05 | 100594758472613929 |         Donegal | 100594758472613929 | 100594758472614185 |    3 |         Jury |                                                      0.5 | 2014-01-05 |        TV
            Galway | 100594758472619837 |            >50 |             1 |         1 |    The Thomas Willis MD Combo |     2022 | 2022-01-02 | 100594758472613932 |           Kerry | 100594758472613932 | 100594758472614185 |    2 |         Jury |                                                        1 | 2022-01-02 |        TV
            Galway | 100594758472619838 |            >50 |             1 |         1 |             Alexandra Parsons |     2018 | 2018-01-07 | 100594758472613946 |          Antrim | 100594758472613946 | 100594758472614185 |    1 |         Jury |                                                        1 | 2018-01-07 |     Phone
            Galway | 100594758472619839 |            >50 |             1 |         1 |            The Erica Kim Band |     2021 | 2021-01-03 | 100594758472613979 |          Offaly | 100594758472613979 | 100594758472614185 |    1 |         Jury |                                                        1 | 2021-01-03 |        TV
            Galway | 100594758472619840 |            >50 |             1 |         1 |                   Amanda Hahn |     2016 | 2016-01-03 | 100594758472613999 |         Kildare | 100594758472613999 | 100594758472614185 |    3 |         Jury |                                                        1 | 2016-01-03 |        TV
            Galway | 100594758472620706 |            >50 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472614026 |    4 |     Audience |                                                      0.5 | 2017-01-01 | Instagram
