
 viewer_countyname | factsk             | age_group_desc | dim_dayofweek | dim_month | dim_partname                  | dim_year | dimdate    | dimpartsk          | part_countyname | partsk             | viewersk           | vote | votecategory | votecost                                                 | votedate   | votemode
-------------------+--------------------+----------------+---------------+-----------+-------------------------------+----------+------------+--------------------+-----------------+--------------------+--------------------+------+--------------+----------------------------------------------------------+------------+----------
            Galway | 100594758472619033 |          31-49 |             1 |         1 |             Stephanie Jimenez |     2022 | 2022-01-02 | 100594758472613931 |           Kerry | 100594758472613931 | 100594758472614015 |    1 |         Jury |                                                      0.5 | 2022-01-02 | Facebook
            Galway | 100594758472619084 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614026 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Facebook
            Galway | 100594758472619258 |          31-49 |             1 |         1 |                   Daniel Bell |     2014 | 2014-01-05 | 100594758472613970 |         Wicklow | 100594758472613970 | 100594758472614065 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Facebook
            Galway | 100594758472619741 |          18-24 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472614166 |    2 |         Jury |                                                      0.5 | 2020-01-05 | Facebook
            Galway | 100594758472619772 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472614171 |    3 |         Jury |                                                      0.5 | 2019-01-06 | Facebook
            Galway | 100594758472619773 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614171 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Facebook
            Galway | 100594758472619810 |            >50 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472614181 |    1 |         Jury |                                                      0.5 | 2020-01-05 | Facebook
            Galway | 100594758472619811 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472614181 |    2 |         Jury |                                                      0.5 | 2021-01-03 | Facebook
            Galway | 100594758472619835 |            >50 |             1 |         1 | The Carol Martinez Experience |     2015 | 2015-01-04 | 100594758472613921 |          Galway | 100594758472613921 | 100594758472614185 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 | Facebook
            Galway | 100594758472619951 |          25-30 |             1 |         1 |                    Mary Moore |     2021 | 2021-01-03 | 100594758472613930 |           Kerry | 100594758472613930 | 100594758472614210 |    2 |         Jury |                                                      0.5 | 2021-01-03 | Facebook
            Galway | 100594758472619952 |          25-30 |             1 |         1 |    The Thomas Willis MD Combo |     2022 | 2022-01-02 | 100594758472613932 |           Kerry | 100594758472613932 | 100594758472614210 |    5 |         Jury |                                                      0.5 | 2022-01-02 | Facebook
            Galway | 100594758472619966 |          18-24 |             1 |         1 |        The Kevin Dillon Group |     2014 | 2014-01-05 | 100594758472613968 |        Kilkenny | 100594758472613968 | 100594758472614213 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Facebook
            Galway | 100594758472620152 |          25-30 |             1 |         1 |                  Renee Burton |     2013 | 2013-01-06 | 100594758472613920 |          Galway | 100594758472613920 | 100594758472614254 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Facebook
            Galway | 100594758472620153 |          25-30 |             1 |         1 |    The Thomas Willis MD Combo |     2022 | 2022-01-02 | 100594758472613932 |           Kerry | 100594758472613932 | 100594758472614254 |    3 |         Jury |                                                      0.5 | 2022-01-02 | Facebook
            Galway | 100594758472620274 |          18-24 |             1 |         1 | The Carol Martinez Experience |     2015 | 2015-01-04 | 100594758472613921 |          Galway | 100594758472613921 | 100594758472614281 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 | Facebook
            Galway | 100594758472620291 |          31-49 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472614286 |    5 |         Jury |                                                      0.5 | 2017-01-01 | Facebook
            Galway | 100594758472620437 |          31-49 |             1 |         1 |              Michael Marshall |     2018 | 2018-01-07 | 100594758472613914 |            Cork | 100594758472613914 | 100594758472614316 |    5 |         Jury |                                                      0.5 | 2018-01-07 | Facebook
            Galway | 100594758472621372 |          18-24 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472614166 |    2 |     Audience |                                                      0.5 | 2017-01-01 | Facebook
            Galway | 100594758472621377 |          18-24 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614166 |    3 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Facebook
            Galway | 100594758472621378 |          18-24 |             1 |         1 |                Kaitlyn Thomas |     2019 | 2019-01-06 | 100594758472613943 |          Tyrone | 100594758472613943 | 100594758472614166 |    2 |     Audience |                                                      0.5 | 2019-01-06 | Facebook
